system:index,classification,fireBinary,.geo
225_0,0.20064142,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[97.80062094720182,18.697789695949957]}"
226_0,0.29194927,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[98.3611696844924,17.929730128027767]}"
227_0,0.3656618,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[98.04586101976645,19.323017133697142]}"
228_0,0.22871026,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[97.79792600134945,18.775943125668356]}"
229_0,0.4716382,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[99.54964080538252,19.172100165965066]}"
230_0,0.1578537,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[99.51460650930187,19.382305942449033]}"
231_0,0.36749607,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[98.49591697711033,18.937639876809868]}"
232_0,0.62458634,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[99.80566066135658,18.97267417289053]}"
233_0,0.06418634,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.01030145736087,19.10742146550846]}"
234_0,0.8156149,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[97.65509387117446,18.56573734918439]}"
